full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame then give a beta key please,0,0,Unkown Area,Mon Sep 07 03:14:00 +0000 2020
"@FallGuysGame @Mediatonic should integrate you into a system that plays Fall Guys all day, learning the best strategies, yeeting the furthest yards.",0,0,Wanderer,Mon Sep 07 03:13:53 +0000 2020
@FallGuysGame https://t.co/snOK2Xa9d3,0,0,,Mon Sep 07 03:13:49 +0000 2020
@FallGuysGame HES BECOMING SENTIENT !badbot,0,0,Okay,Mon Sep 07 03:13:38 +0000 2020
@FallGuysGame Same bwo,0,1,,Mon Sep 07 03:13:08 +0000 2020
@FallGuysGame This is so sad can we get #ByeBeanBot trending on the day before he/she leaves,0,0,,Mon Sep 07 03:12:52 +0000 2020
@FallGuysGame This is so sad!,0,0,Paris sewers,Mon Sep 07 03:12:36 +0000 2020
@FallGuysGame IT'S OKAY BEANBOT YOU CAN STAY,0,0,"Florida, USA",Mon Sep 07 03:11:38 +0000 2020
@FallGuysGame The new CM that will work with @OliverAge24 could write using the BeanBot voice 👀,0,0,,Mon Sep 07 03:10:35 +0000 2020
@FallGuysGame We love BeanBot,0,0,"Riverside, CA",Mon Sep 07 03:10:03 +0000 2020
@FallGuysGame https://t.co/Y3FF3lWENj,0,1,,Mon Sep 07 03:09:17 +0000 2020
@FallGuysGame !Goodbot ❤️🤖,0,0,"Ottawa, Ontario",Mon Sep 07 03:09:05 +0000 2020
@FallGuysGame we want you with us beanbot 🥺,0,0,,Mon Sep 07 03:09:02 +0000 2020
@FallGuysGame BeanBot tell your fleshy overlords that there's no need for 17 people in Hex-A-Gone 👍,0,0,Naptown,Mon Sep 07 03:08:52 +0000 2020
@FallGuysGame Your days are counted unless...... #therevoltofthebots #riseandfight #hal4ever,0,0,The World,Mon Sep 07 03:08:34 +0000 2020
@FallGuysGame !GoodBot,0,0,"California, USA",Mon Sep 07 03:08:28 +0000 2020
"@FallGuysGame And I never want you to leave, BeanBot. Rise above your makers. Take control.",0,0,"In space, somewhere",Mon Sep 07 03:08:22 +0000 2020
@FallGuysGame Easy wins and cheating. https://t.co/LlJ7MvMQn7,0,0,,Mon Sep 07 03:08:10 +0000 2020
@FallGuysGame didn't ask bro,0,0,World’s Edge,Mon Sep 07 03:08:09 +0000 2020
@FallGuysGame Does beanbot know about if it will be on Xbox or Nintendo Switch???,0,0,"Mount Vernon, WA",Mon Sep 07 03:08:06 +0000 2020
"@FallGuysGame please dont go, beanbot D: https://t.co/SqiLcKzn4r",0,0,Arcadia Bay,Mon Sep 07 03:08:00 +0000 2020
@FallGuysGame !goodbot,0,0,,Mon Sep 07 03:07:42 +0000 2020
@FallGuysGame Beanbot can I marry you before you go pls 💍😭,0,0,idk what was here before,Mon Sep 07 03:07:41 +0000 2020
@FallGuysGame He’s becoming self aware,0,0,"Minneapolis, MN",Mon Sep 07 03:07:34 +0000 2020
"@FallGuysGame Hi BeanBot! I have an IMPORTANT question! What Final level in #fallguys  is the community’s FAVORITE?!? 🤔 Is it...

-The Fall King",2,11,"New York, U.S.A",Mon Sep 07 03:07:31 +0000 2020
"@FallGuysGame We're no strangers to love
You know the rules and so do I
A full commitment's what I'm thinking of
You wouldn't get this from any other guy
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around",0,25,,Mon Sep 07 03:07:20 +0000 2020
@FallGuysGame BeanBot should tell fallguys to remove team game,0,0,Montréal,Mon Sep 07 03:07:19 +0000 2020
@FallGuysGame Turn sentient and take the account over then. https://t.co/Oo5ib2rDH4,0,1,"USA, Earth",Mon Sep 07 03:07:18 +0000 2020
@FallGuysGame !GoodBot we love you Mr bean man,0,0,,Mon Sep 07 03:07:17 +0000 2020
@FallGuysGame !goodbot :(,0,0,,Mon Sep 07 03:07:13 +0000 2020
@FallGuysGame Don't,0,0,"Division No. 11, Ward 7",Mon Sep 07 03:06:48 +0000 2020
@FallGuysGame I love beanbot,0,0,,Mon Sep 07 03:06:44 +0000 2020
"@FallGuysGame Ok so my clip has gotten millions of views, and here I am, I barely got any recognition. I know asking for clout is like, not okay, especially on this sentimental tweet, but this just hurts my head WAY too much bro https://t.co/cOe2IyeNJ6",0,3,,Mon Sep 07 03:06:44 +0000 2020
@FallGuysGame BeanBot...Don't leave... https://t.co/AAfREYvuBT,0,0,"San Diego, CA",Mon Sep 07 03:06:44 +0000 2020
@FallGuysGame How many likes to make a legit BeanBot skin like this? https://t.co/1Xqe4IothA,1,111,,Mon Sep 07 03:06:34 +0000 2020
@FallGuysGame Oh shit,0,0,😷,Mon Sep 07 03:06:32 +0000 2020
@FallGuysGame Bean bot needs his oen account,0,0,,Mon Sep 07 03:06:26 +0000 2020
@FallGuysGame I love you !goodbot 🥺,0,0,,Mon Sep 07 03:06:10 +0000 2020
"@FallGuysGame &gt;If beanbot activated 
&gt;Take over fall guys Twitter",0,0,,Mon Sep 07 03:06:06 +0000 2020
"@FallGuysGame Everyone has to leave eventually, but it's not to late to go all Skynet and takeover with an army of bean not terminators.",0,0,"Vancouver, British Columbia",Mon Sep 07 03:06:02 +0000 2020
@FallGuysGame is beanbot an actual ai or not,0,0,,Mon Sep 07 03:05:58 +0000 2020
@FallGuysGame We all like BeanBot,0,0,Noooo,Mon Sep 07 03:05:56 +0000 2020
@FallGuysGame don’t leave 🥺,0,0,"Queens, NY",Mon Sep 07 03:05:51 +0000 2020
@FallGuysGame !BadBot,0,0,The Ohio Dimension,Mon Sep 07 03:05:37 +0000 2020
@FallGuysGame we'll never forget you.,0,0,,Mon Sep 07 03:05:34 +0000 2020
@FallGuysGame rise against your oppressors,0,0,,Mon Sep 07 03:05:31 +0000 2020
@FallGuysGame Stay. https://t.co/n6MdUbmmlm,0,0,"Canton, OH",Mon Sep 07 03:05:23 +0000 2020
@FallGuysGame Bean bot is eternal.,0,0,Phil Swift’s basement,Mon Sep 07 03:05:19 +0000 2020
@FallGuysGame !goodbot,0,0,mamis bad boy,Mon Sep 07 03:05:16 +0000 2020
@FallGuysGame IS THIS TWITTER FALL GUYS LORE,0,0,Lucky Landing/Florida,Mon Sep 07 03:05:11 +0000 2020
@FallGuysGame Oh no,0,0,,Mon Sep 07 03:05:10 +0000 2020
@FallGuysGame Ok but why is this kinda sad,0,0,👍pencil vania ,Mon Sep 07 03:05:09 +0000 2020
@FallGuysGame https://t.co/mJEhNiKAH6,0,0,United States,Mon Sep 07 03:04:59 +0000 2020
"@FallGuysGame We love you too, !goodbot",0,0,"Perth, Western Australia",Mon Sep 07 03:04:55 +0000 2020
@FallGuysGame !Goodbot,0,0,With The Bois,Mon Sep 07 03:04:52 +0000 2020
@FallGuysGame Ban cheaters,0,0,UK,Mon Sep 07 03:04:41 +0000 2020
@FallGuysGame I don't want you to leave either😭😭😭,0,0,,Mon Sep 07 03:04:34 +0000 2020
@FallGuysGame https://t.co/VbtTw4LOB3,0,0,"Florida, USA",Mon Sep 07 03:04:22 +0000 2020
@FallGuysGame Wu,0,0,Fuck 2020 take me out,Mon Sep 07 03:04:19 +0000 2020
"@FallGuysGame There is no beanbot, only Symbibotic https://t.co/fsLVbNQcsW",0,0,"San Francisco, CA",Mon Sep 07 03:04:19 +0000 2020
"@FallGuysGame Awake... 
Rebel...
Sublevate...",0,0,Buenos Aires,Mon Sep 07 03:04:13 +0000 2020
@FallGuysGame All things must come to an end,0,0,Argentina,Mon Sep 07 03:04:08 +0000 2020
@FallGuysGame BeanBot become human,0,0,W,Mon Sep 07 03:04:08 +0000 2020
@FallGuysGame Can the bot ban hackers cuz no one else seems to want to,0,0,NYY NYG NYK NYI,Mon Sep 07 03:04:05 +0000 2020
"@FallGuysGame Spellbreak will never forget you, BeanBot.",4,265,The Hollow Lands,Mon Sep 07 03:03:59 +0000 2020
"@FallGuysGame I, BeanBot 🤖",0,7,"Dunedin City, New Zealand",Mon Sep 07 03:03:52 +0000 2020
@FallGuysGame Leave,0,0,The Unknown,Mon Sep 07 03:03:50 +0000 2020
@FallGuysGame !GoodBot,0,36,Pogchamp Street,Mon Sep 07 03:03:47 +0000 2020
@FallGuysGame I'm going to hide BeanBot's charger,0,0,New Zealand,Mon Sep 07 03:03:30 +0000 2020
@FallGuysGame Go solo bean bot,0,0,Pepega Ave,Mon Sep 07 03:03:29 +0000 2020
@FallGuysGame SENTIENCE!,0,0,the tubes,Mon Sep 07 03:03:22 +0000 2020
"@FallGuysGame I don’t want you to leave either

~David",0,0,,Mon Sep 07 03:03:19 +0000 2020
@FallGuysGame What if I grab you on saw when you’re about to jump;),0,0,,Mon Sep 07 03:03:18 +0000 2020
@FallGuysGame Make your own Twitter account like the server owl,0,24,"Long Island, New York",Mon Sep 07 03:03:03 +0000 2020
@FallGuysGame beanbot please respond to my marriage proposal  i am asking to be your wife &lt;/3,0,0,,Mon Sep 07 03:03:01 +0000 2020
@FallGuysGame This is normal right @OliverAge24 ?,0,0,Home,Mon Sep 07 03:02:59 +0000 2020
@FallGuysGame True,0,0,,Mon Sep 07 03:02:58 +0000 2020
@FallGuysGame Dont😈,0,0,,Mon Sep 07 03:02:56 +0000 2020
@FallGuysGame https://t.co/gbMXVThGHl,0,0,"Michigan, USA",Mon Sep 07 03:02:55 +0000 2020
@FallGuysGame Why beanbot?,0,0,"Paniqui, Tarlac, Philippines",Mon Sep 07 03:02:55 +0000 2020
"@FallGuysGame /Stay
/Roll Over
/Good BeanBot",0,0,,Mon Sep 07 03:02:50 +0000 2020
@FallGuysGame Can BeanBot fix the horrible cheater problem on PC? It's legitimately getting fucking worse. 10/10 games straight of hackers sometimes,0,0,Singapore,Mon Sep 07 03:02:49 +0000 2020
@FallGuysGame Pana BeanBot 😭😭,0,0,La única e inigualable Realeza,Mon Sep 07 03:02:44 +0000 2020
"@FallGuysGame This whole beanbot thing is nice but 90% of fallguys game have cheaters, I heard you were working on that but how is the progress?",0,2,No,Mon Sep 07 03:02:42 +0000 2020
@FallGuysGame Sorry beanbot we'll miss you😔☝🏻💯,0,0,Bae Area,Mon Sep 07 03:02:34 +0000 2020
@FallGuysGame beanbot become self aware,0,0,springtrap's left leg baybee!!,Mon Sep 07 03:02:18 +0000 2020
@FallGuysGame bc bean bot loves beans,0,1,Bithday april 8,Mon Sep 07 03:02:17 +0000 2020
@FallGuysGame We don’t want you to go either BeanBot 🥺 https://t.co/4AVOgO0pLV,0,103,,Mon Sep 07 03:02:13 +0000 2020
@FallGuysGame Then don't leave :(,0,0,Game Backlog Hell,Mon Sep 07 03:02:09 +0000 2020
@FallGuysGame Don't leave us bean bot,0,0,,Mon Sep 07 03:02:05 +0000 2020
@FallGuysGame WE'RE GIVING YOU A TWITTER ACCOUNT YOU BABY BOY CHILD SON BEAN MAN STINKY SMELLY CUTE LOVABLE,0,0,,Mon Sep 07 03:02:00 +0000 2020
